Assembly	sample_2_fasta	sample_8_fasta	sample_1_fasta	sample_7_fasta	sample_6_fasta	sample_5_fasta	sample_4_fasta	sample_3_fasta
# contigs (>= 0 bp)	309	96	223	77	4139	287	119	1967
# contigs (>= 1000 bp)	131	47	152	48	768	178	66	1169
Total length (>= 0 bp)	5347835	5029548	1955352	4972845	7491387	10078595	3221348	7992417
Total length (>= 1000 bp)	5261824	5011616	1916675	4958677	5922531	10014808	3195614	7505853
# contigs	209	62	193	61	1873	255	88	1661
Largest contig	502542	540265	128281	550709	107070	870528	290262	66870
Total length	5316828	5021325	1946589	4968392	6678565	10068509	3210981	7867602
GC (%)	50.27	51.79	50.65	48.26	50.44	51.33	50.60	50.55
N50	236402	325782	23425	270586	18319	209263	120854	11328
N90	25457	93447	5158	83820	906	43149	41673	1733
auN	225876.5	333501.7	35575.9	275379.5	27942.8	331910.7	137450.6	14761.8
L50	8	6	21	7	85	12	9	200
L90	35	16	90	20	861	51	26	839
# N's per 100 kbp	14.95	15.41	0.00	23.59	561.11	1.48	17.85	150.74
